student_id,activity,teacher_id,date,level,change,time,correct_problems,total_problems,correct/total_problems
chesamfareed,Range of quadratic functionsClass 11 math (India),8,"Oct 07, 2020 at 2:12 PM",–,–,0,,,–
chesamfareed,i as the principal root of -1Class 11 math (India),8,"Oct 07, 2020 at 12:57 AM",–,–,0,,,–
chesamfareed,Powers of the imaginary unitClass 11 math (India),8,"Oct 07, 2020 at 12:49 AM",–,–,1,,,0/4
chesamfareed,Powers of the imaginary unitClass 11 math (India),8,"Oct 07, 2020 at 12:48 AM",Attempted,,1,,,1/4
chesamfareed,Complex numbers: Unit testClass 11 math (India),8,"Oct 07, 2020 at 12:47 AM",–,–,1,,,1/11
chesamfareed,Statistics: Unit testClass 11 math (India),8,"Oct 07, 2020 at 12:46 AM",–,–,0,,,–
chesamfareed,Limits introClass 11 math (India),8,"Oct 07, 2020 at 12:43 AM",–,–,3,,,1/4
chesamfareed,The counting principleClass 11 math (India),8,"Oct 07, 2020 at 12:42 AM",–,–,1,,,–
chesamfareed,Use the Pythagorean identityClass 11 math (India),8,"Oct 07, 2020 at 12:41 AM",–,–,1,,,–
chesamfareed,Using the trig angle addition identitiesClass 11 math (India),8,"Oct 07, 2020 at 12:33 AM",–,–,8,,,1/4
chesamfareed,Trig values of special anglesClass 11 math (India),8,"Oct 07, 2020 at 12:29 AM",Multiple skill changes,+ 3,4,,,4/4
chesamfareed,Trig values of special anglesClass 11 math (India),8,"Oct 07, 2020 at 12:22 AM",Multiple skill changes,+ 3,7,,,3/4
chesamfareed,Radians & degreesClass 11 math (India),8,"Oct 07, 2020 at 12:16 AM",Proficient,,5,,,4/4
chesamfareed,Radians & degreesClass 11 math (India),8,"Oct 07, 2020 at 12:14 AM",Familiar,,2,,,3/4
chesamfareed,Linear inequalities: Unit testClass 11 math (India),8,"Oct 05, 2020 at 6:06 AM",–,–,0,,,–
chesamfareed,Radians & degreesClass 11 math (India),8,"Oct 05, 2020 at 6:04 AM",–,–,2,,,0/4
chesamfareed,Range of quadratic functionsClass 11 math (India),8,"Oct 05, 2020 at 6:01 AM",–,–,2,,,0/4
chesamfareed,Range of quadratic functionsClass 11 math (India),8,"Oct 05, 2020 at 5:53 AM",–,–,8,,,–
chesamfareed,Determine the domain of functionsClass 11 math (India),8,"Oct 05, 2020 at 5:52 AM",Proficient,,1,,,4/4
chesamfareed,Identifying values in the domainClass 11 math (India),8,"Oct 05, 2020 at 5:50 AM",Proficient,,2,,,4/4
chesamfareed,Domain and range from graphClass 11 math (India),8,"Oct 05, 2020 at 5:48 AM",Proficient,,2,,,7/7
chesamfareed,Domain and range from graphClass 11 math (India),8,"Oct 05, 2020 at 5:43 AM",–,–,4,,,6/7
chesamfareed,Worked example: domain and range from graphClass 11 math (India),8,"Oct 05, 2020 at 5:39 AM",–,–,1,,,–
chesamfareed,Domain and range from graphClass 11 math (India),8,"Oct 05, 2020 at 5:38 AM",Familiar,,4,,,5/7
chesamfareed,Function inputs & outputs: equationClass 11 math (India),8,"Oct 05, 2020 at 5:37 AM",Proficient,,1,,,4/4
chesamfareed,Function inputs & outputs: equationClass 11 math (India),8,"Oct 05, 2020 at 5:32 AM",Familiar,,4,,,3/4
chesamfareed,Function inputs & outputs: graphClass 11 math (India),8,"Oct 05, 2020 at 5:30 AM",Proficient,,2,,,4/4
chesamfareed,Worked example: matching an input to a function's output (graph)Class 11 math (India),8,"Oct 05, 2020 at 5:29 AM",–,–,2,,,–
chesamfareed,Evaluate functionsClass 11 math (India),8,"Oct 05, 2020 at 5:28 AM",Proficient,,1,,,4/4
